gmlid,building_footprint_geometry_wkt
DEHE06200000xykR,"POLYGON((8.59171445815742 50.1872139997783,8.59170555221718 50.1872234929156,8.59170285265445 50.1872295992138,8.59171808231754 50.1872325307552,8.59170466389458 50.1872619652819,8.59168816107068 50.1872588493879,8.59168432305904 50.1872654013745,8.59168265194939 50.1872806759719,8.59168325016817 50.1873090894973,8.59159548268515 50.1872902627457,8.59152985687138 50.187414901977,8.59144606233124 50.1874048940148,8.59144734756545 50.1874020205178,8.59142819247798 50.1873978160033,8.5914264870154 50.1874006880221,8.59135081739719 50.187375877785,8.59141658765343 50.1872524173498,8.59111679157985 50.1871865352418,8.59113828752786 50.187146246709,8.59097169530723 50.1871096940629,8.590977033995 50.1870586550388,8.59098753960305 50.1870586920265,8.5909944122022 50.1870412682446,8.59097718838814 50.1870405780378,8.59098298261879 50.1869854034672,8.59131407540189 50.1870573229438,8.59129273211249 50.1870978009164,8.59147666476358 50.1871378227325,8.59158443166869 50.1869336825622,8.59118763976172 50.1868473224678,8.59120969406791 50.186805596876,8.59097603676261 50.1867522686188,8.59098053887862 50.186700767962,8.59099436528734 50.1867039644724,8.59100361363174 50.1866871876131,8.59098209700084 50.1866823451438,8.59098677307786 50.1866285157035,8.59138466401935 50.1867155099214,8.59136246983346 50.1867572350548,8.59164660517363 50.1868195539056,8.59175476917762 50.1866163143438,8.59125903781675 50.1865075719383,8.59128222937276 50.1864638716949,8.59104841591453 50.186412611604,8.59105387904476 50.1863617438908,8.59106788171085 50.1863623328099,8.59107504269509 50.1863439297116,8.59105585964889 50.1863430527436,8.59106181315514 50.186287249157,8.59145635212896 50.1863744112142,8.5914352979297 50.1864138919217,8.5918176760305 50.1864982218999,8.59185027137544 50.1864374843442,8.5918814305959 50.1863792420112,8.59196993876933 50.1863800026005,8.59196879519955 50.1863826967252,8.5919929731806 50.1863875483589,8.59199439612859 50.1863849451532,8.59205866068823 50.1864181601101,8.5920290353493 50.1864755984343,8.59199700370158 50.1865376061456,8.59207987735881 50.1865552462194,8.59205392183287 50.186578170222,8.59204291260259 50.1865879348081,8.59204006057059 50.1865938607032,8.59205529005264 50.1865967922003,8.59204188602451 50.1866262268193,8.59202538339721 50.1866231109733,8.5920221019465 50.1866301146164,8.59202156458119 50.1866438642551,8.59202047291753 50.1866733511035,8.59193270654068 50.1866545156136,8.59182591307462 50.1868597387912,8.59191312033056 50.1868784734648,8.59188406813981 50.1869014764886,8.59187223542732 50.1869108784131,8.59187364306883 50.186910073916,8.59188887264102 50.186913005435,8.59187545441361 50.1869424399835,8.59185896569587 50.1869393241631,8.591853566986 50.1869482090613,8.59185344519285 50.1869624997867,8.5918539039141 50.1869826385236,8.59185405500726 50.1869895642829,8.59182132241666 50.1869825420393,8.59176628804118 50.1869707376606,8.59165978153095 50.1871733534813,8.59174265616131 50.1871909937961,8.59171445815742 50.1872139997783))"
DEHE06200002brzu,"POLYGON((8.59785077054551 50.2075680239273,8.59831505304128 50.207424200701,8.59823961939003 50.2073236953245,8.59835961071894 50.2072863723123,8.59843482314151 50.2073865440773,8.59843603146687 50.2073861705151,8.59854135175766 50.2075257490373,8.59873090571405 50.207466999985,8.59891835329123 50.2077163699088,8.59872683207595 50.2077756610909,8.59860042412943 50.2076071578801,8.59848090894242 50.20764444681,8.59853405495618 50.2077156542573,8.59776695390374 50.2079531078357,8.59754752185264 50.2076615704078,8.5978502267401 50.2075676982694,8.59785046564965 50.2075676181524,8.59785077054551 50.2075680239273))"
DEHE06200001x1lB,"POLYGON((8.58825003755319 50.1873985479803,8.58807232420284 50.1872903520907,8.58812120201112 50.1872573112756,8.58846481106239 50.1870249239403,8.58851640621772 50.1869902107427,8.58865610534362 50.1870751842705,8.58860462125281 50.1871100148425,8.58834436715225 50.1872861359538,8.58852044577292 50.1873939119216,8.58888519553732 50.1872753158771,8.58895211679985 50.1872534908801,8.58903931039325 50.1873635507398,8.58866995077923 50.1874838847364,8.58866483787729 50.1874855124992,8.58868136973394 50.1875064366554,8.58859107314056 50.1875375142859,8.58851699027586 50.1875613103328,8.58825003755319 50.1873985479803))"
DEHE06200000ynoY,"POLYGON((8.56608167650922 50.210832979753,8.56615055179165 50.2108091066605,8.56725713060734 50.2104254938089,8.5673193243929 50.2105049425713,8.56736212113874 50.210559676141,8.56738469042344 50.2105885222579,8.56739757502969 50.2106050198392,8.56741400592922 50.2106261084518,8.56765719824855 50.2109370558989,8.56765977421517 50.2109404651294,8.56774369335079 50.2110477402762,8.56782348430719 50.211149711668,8.56786628074095 50.2112046069313,8.5675977567025 50.2112895883826,8.56761962899502 50.2113180721051,8.56753588743212 50.2113446428286,8.56754835429459 50.2113608690227,8.56731381725074 50.2114363349864,8.56735826149091 50.2114934040694,8.56696902577664 50.2116183435396,8.56700787451221 50.2116680260035,8.56700849792766 50.2116688287722,8.56689732996981 50.2117044524842,8.56690259366843 50.2117113073697,8.56674773514412 50.2117598899865,8.56674330419866 50.2117539375762,8.56664832611337 50.2117830649595,8.56661123030579 50.2117332989767,8.56649948591802 50.211772166909,8.56582976580056 50.2109203035847,8.56608167650922 50.210832979753))"
DEHE06200000xyG8,"POLYGON((8.58780617428733 50.1718241016431,8.58783957265655 50.1718452477195,8.58785814622574 50.1718332708853,8.58782465045441 50.1718120525179,8.58839202446284 50.1714424034105,8.58881380603894 50.1717098896474,8.58865995794045 50.1718101657614,8.58860426094945 50.1717749015862,8.58843723352427 50.1718834949877,8.58849312555617 50.171918876853,8.588346035761 50.1720147335398,8.58842541046524 50.1720649395349,8.58843522600591 50.1720585257382,8.5886845915799 50.1722161803766,8.58852468114022 50.1723209857148,8.58895253881192 50.1725912630196,8.58936383922764 50.1723234425513,8.58938325826522 50.1723108299015,8.58926757306798 50.1722374989669,8.58936301011004 50.1721750864524,8.5894823200174 50.1722503098123,8.58950696413145 50.1722342170086,8.58956209050322 50.1722692089159,8.58953647547221 50.1722858469238,8.58958242321725 50.1723150413449,8.58908819346598 50.1726401207538,8.58938253548391 50.1728265693042,8.58940632349207 50.1728107343178,8.58952258364735 50.1728841570752,8.58931582005655 50.1730195478074,8.58925650112326 50.1729818428163,8.58872898206129 50.1733256809942,8.58831092572658 50.173061463506,8.58836657962056 50.1730252807107,8.58832657784002 50.1730000102048,8.58883007687947 50.1726712074379,8.58868749599934 50.1725809352902,8.58864223015059 50.1725522735667,8.58846276901354 50.1724386394791,8.58843419592083 50.1724572364122,8.58806345960431 50.1722231710497,8.58809300456006 50.172203921104,8.58794742979079 50.1721120095386,8.58800564989556 50.1720736864894,8.58771024504682 50.171886601075,8.58780617428733 50.1718241016431))"
DEHE06200001F8lT,"POLYGON((8.57751767934909 50.1644776139445,8.5775421435305 50.1644930554095,8.57754473334184 50.1644946927138,8.57728053139754 50.1646674205727,8.57749250563297 50.1648015524722,8.57757306844586 50.164852525775,8.57784155016921 50.1646771416402,8.57776058276345 50.1646260051622,8.57775998405261 50.1646256252445,8.57809029621113 50.1644101728673,8.57828825555996 50.1645348358613,8.57739609063088 50.1651177039621,8.57736626361898 50.1651371930178,8.57717486574762 50.165016284794,8.57696002115076 50.164880567944,8.57690961709996 50.1648487260433,8.57682200887766 50.164793382587,8.57740983921447 50.1644095699858,8.57749420361473 50.1644628146322,8.57751767934909 50.1644776139445))"
DEHE06200000yqZu,"POLYGON((8.57488648390429 50.2124407325697,8.57488579015807 50.2123295220986,8.57474303014916 50.2123295393176,8.57474399447893 50.2121421936746,8.57437401500507 50.212141180743,8.57425056634065 50.21214144797,8.57415152870947 50.2121405364147,8.57415356571246 50.2119274095661,8.57429799988324 50.2119281187079,8.57430393791375 50.211542667548,8.57462249603649 50.2115447425993,8.57462515881335 50.2115447523477,8.57462180645662 50.2117342387775,8.57521479064427 50.2117385037332,8.57521131932183 50.2119416512697,8.57506100129842 50.2119406519318,8.57505901720256 50.212069372475,8.57505847899825 50.2120984113827,8.57551000219005 50.2121006194488,8.57559166551297 50.212101007703,8.57580166058498 50.2121020443655,8.57579724751296 50.2124448886509,8.57550473291864 50.2124433706598,8.57550463585637 50.212438513671,8.57488648390429 50.2124407325697))"
DEHE062000002DZU,"POLYGON((8.56580874209926 50.1745287483478,8.56588820013616 50.1744872420045,8.56590029702978 50.1744968206685,8.56594088654959 50.1745287025682,8.56596242611269 50.1745455925157,8.56600357089697 50.1745780250914,8.56602387231341 50.1745940110187,8.56606611614987 50.1746272571223,8.56608780821417 50.1746443274924,8.56612700647963 50.1746752238019,8.56614965914993 50.174692927316,8.56619122194055 50.1747256222063,8.56620137226174 50.1747336646183,8.56660884700868 50.1748290361578,8.56662805181783 50.1748269492883,8.56669278751435 50.1748199057802,8.56672375375015 50.1748165136922,8.56678975057873 50.1748093848956,8.5668225248428 50.1748058286413,8.56688515827941 50.1747989570631,8.56691738564768 50.1747954796873,8.56698156029343 50.1747885238649,8.56701548455149 50.1747847829725,8.56707811703962 50.1747780102189,8.56709983093412 50.1747756628076,8.56714356967346 50.1749411593205,8.56707953496628 50.1749481067602,8.56704352239166 50.1749520197644,8.56702978475833 50.1749534975123,8.56696350687514 50.1749607153358,8.56692987819619 50.1749642774384,8.56686556253679 50.174971313651,8.56683361512451 50.1749747920564,8.56676833308657 50.1749818336055,8.56673568465189 50.1749853993077,8.56667163492914 50.1749924453987,8.56661138512794 50.1749989660018,8.56659177361308 50.17503207106,8.56651159319277 50.1750125340823,8.56649694465064 50.1750372933858,8.56607931743787 50.1749354889245,8.56609338304537 50.1749117168166,8.56601601210794 50.1748928195581,8.56603293944867 50.1748607838275,8.56569031994895 50.1745907947685,8.56580874209926 50.1745287483478))"
DEHE06120000OW5s,"POLYGON((8.83769269380594 50.082221788671,8.83771358465832 50.0821984786224,8.83775618851766 50.0822147002643,8.83778124306813 50.0821876905222,8.83782348304812 50.082204055534,8.83784871907672 50.0821770999944,8.83789091744215 50.0821933749842,8.83811924589331 50.0821572411767,8.83811725080624 50.0821520039265,8.83812356234617 50.0821455370961,8.83814378422458 50.0821423364687,8.83815398897794 50.082146083177,8.83815602569751 50.082151410424,8.8382299627842 50.0821397134339,8.83837276991622 50.0825133673563,8.83830100001005 50.0825246987042,8.83823574694078 50.0825350137799,8.8376079540012 50.0826342308011,8.83756725804332 50.0826406674881,8.83758732005049 50.0826931301738,8.83730738431196 50.0827374380591,8.8367840457575 50.0813695538618,8.83786989928718 50.0811976993076,8.83797178739594 50.0814642868218,8.83797241081268 50.0814659335816,8.83796969779208 50.0814663704979,8.83796933763418 50.0814654076444,8.8379470882443 50.0814689381871,8.83795673124652 50.0814941616409,8.83796828858473 50.0814988096472,8.83798634153131 50.0815460350014,8.83796423445838 50.0815695322767,8.83787593605159 50.081583502497,8.83787956593929 50.0815930231468,8.83787875484734 50.0815931479293,8.83747514614208 50.0816570251387,8.83752735383502 50.0817925468382,8.83755071427625 50.0818532166205,8.83768043145927 50.0821899420024,8.83769269380594 50.082221788671))"
DEHE062000002CFS,"POLYGON((8.56918865522662 50.1649292078233,8.56924393024733 50.1649295027582,8.56924422617885 50.1649121547344,8.5692995011804 50.1649124496428,8.56929933612683 50.1649292585214,8.56929905549012 50.1649449067658,8.5693603642228 50.1649453049623,8.56936064395059 50.1649297556467,8.56949219311054 50.1649306839785,8.56949191665677 50.1649458735529,8.56955069032787 50.1649463611855,8.56955096757074 50.1649310816756,8.5695512682375 50.1649131940382,8.56961536385162 50.1649135214832,8.56961504624901 50.1649332977647,8.56966053459895 50.164933556239,8.56965914078941 50.1650264124917,8.5695408907762 50.1650257045179,8.5695405553713 50.1650474593781,8.56953997098962 50.1650953764009,8.56953957500197 50.1651238764175,8.569582529427 50.1651241165379,8.56958204658655 50.1651638495407,8.5695536252851 50.1651636542834,8.56955331527798 50.1651981714983,8.56929553031413 50.1651969551029,8.56929600583329 50.1651611793644,8.56926716450389 50.1651609824795,8.569267520707 50.1651213479404,8.56930014237044 50.1651215498486,8.56933177068867 50.1651216671201,8.56933221278322 50.1650880497791,8.56930043047599 50.1650879319367,8.56930147500314 50.1650184403945,8.56918742442661 50.1650178465642,8.56918865522662 50.1649292078233))"
