gmlid,shape
DEHE06200001idwe,Rectangle
DEHE06200001pRHI,Unknown
DEHE06200001idDQ,L-Shape
DEHE06200001idAG,Rectangle
DEHE06200001idAq,Rectangle
DEHE06200001eRJ5,Rectangle
DEHE06200001idDx,Rectangle
DEHE06200001idCg,L-Shape
DEHE06200001idAv,Rectangle
DEHE06200001fjOC,Unknown
DEHE06200001cKJj,Unknown
DEHE06200001cKxC,Rectangle
DEHE06200001cKfn,Unknown
DEHE06200002y3x0,Rectangle
DEHE06200001cxYa,Rectangle
DEHE06200001cxWZ,Rectangle
DEHE06200001fkVt,Rectangle
DEHE06200001Q3pE,Unknown
DEHE06200001cuKL,Rectangle
DEHE06200001QlCq,Rectangle
DEHE062000024Lxg,Rectangle
DEHE06200001chBW,Unknown
DEHE06200001cheo,Unknown
DEHE06200001chp7,Rectangle
DEHE06200001S6OP,Rectangle
DEHE06200002AtIq,Unknown
DEHE06200001cxXN,L-Shape
DEHE06200001cKaZ,L-Shape
DEHE06200002yaPI,Rectangle
DEHE06200001v5Ax,Rectangle
DEHE06200001chdy,T-Shape
DEHE06200002bLIJ,Rectangle
DEHE06200001cut0,Unknown
DEHE06200001cKh0,T-Shape
DEHE06200001bubk,Unknown
DEHE06200002aWgK,Rectangle
DEHE06200001cxXI,Unknown
DEHE06200001bBhg,Rectangle
DEHE06200001chlj,Rectangle
DEHE06200002nJ7K,Rectangle
DEHE06200001chny,Rectangle
DEHE06200001fkWy,T-Shape
DEHE06200001hXgc,Rectangle
DEHE062000027pQU,L-Shape
DEHE06200001buao,L-Shape
DEHE06200001hXfq,Rectangle
DEHE06200001hXj5,L-Shape
DEHE06200001vXxM,Rectangle
DEHE06200001qNUD,Unknown
DEHE06200001qNUG,Unknown
DEHE06200001qNQT,Rectangle
DEHE06200001qNUB,Unknown
DEHE06200001qNU2,T-Shape
DEHE06200001qNUC,Unknown
DEHE06200001APvV,Rectangle
DEHE062000027m59,T-Shape
DEHE062000025x4t,Rectangle
DEHE06200001Q19y,Unknown
DEHE06200001j4Zc,Rectangle
DEHE06200002skNr,Rectangle
DEHE06200001j4XT,Unknown
DEHE06200001j4Yk,Rectangle
DEHE06200001j584,Unknown
DEHE06200001j4XB,Unknown
DEHE06200001m3HH,Unknown
DEHE06200001p1da,Rectangle
DEHE06200002AOc7,T-Shape
DEHE06200001m3CO,Unknown
DEHE06200001p1cU,L-Shape
DEHE06200001flWP,Rectangle
DEHE06200002vwJl,Unknown
DEHE06200002bU5O,Unknown
DEHE06200001flvy,Rectangle
DEHE06200001fldT,Unknown
DEHE06200001cxkR,Unknown
DEHE06200001fkG7,Rectangle
DEHE06200001flkT,L-Shape
DEHE0620000279Kk,Rectangle
DEHE0620000207Rm,Rectangle
DEHE06200002bhFu,Rectangle
DEHE06200001flfu,L-Shape
DEHE062000025fjN,Rectangle
DEHE06200001fllc,T-Shape
DEHE06200001ru2w,T-Shape
DEHE06200000siIv,Unknown
DEHE06200000siRt,Rectangle
DEHE062000029yJl,Rectangle
DEHE06200001C2CW,Rectangle
DEHE06200001qorL,Rectangle
DEHE06200001qom8,Rectangle
DEHE06200001qoej,Rectangle
DEHE06200001iJwd,Rectangle
DEHE06200001qomr,Rectangle
DEHE06200001qo7F,Rectangle
DEHE06200001qonm,Rectangle
DEHE06200000t0su,Rectangle
DEHE06200001iJnN,Rectangle
DEHE06200001r45V,Unknown
DEHE06200001iJlR,Rectangle
DEHE06200001r463,T-Shape
DEHE06200000sjOs,Unknown
DEHE06200001PVAx,Unknown
DEHE06200001Jq9q,Rectangle
DEHE062000021zjB,Rectangle
DEHE06200000t25O,Unknown
DEHE06200000sj7e,T-Shape
DEHE06200000shYI,Unknown
DEHE06200001U8fV,Rectangle
DEHE06200000t1XG,Unknown
DEHE06200000t25r,Unknown
DEHE06200000sjCY,Unknown
DEHE06200000sjFY,L-Shape
DEHE06200000sjU9,Unknown
DEHE06200000sjVT,T-Shape
DEHE06200001E3MO,Rectangle
DEHE06200000t1UT,T-Shape
DEHE06200000z95c,Unknown
DEHE061200000RLH,T-Shape
DEHE06120001TzEl,Rectangle
DEHE061200000Q6i,T-Shape
DEHE061200000QgR,T-Shape
DEHE061200000PSA,Rectangle
DEHE06200002BGh7,Rectangle
DEHE06120000mgj7,Rectangle
DEHE06200002BGhf,Rectangle
DEHE06200002Dgsv,Unknown
DEHE06200002Dk8n,Unknown
DEHE06200002HhXG,Rectangle
DEHE06200002HrtZ,Unknown
DEHE06200002Hru4,Unknown
DEHE06200002HruV,L-Shape
DEHE06200000nc6c,Rectangle
DEHE06200000nbEy,Unknown
DEHE06200000ncay,T-Shape
DEHE06200000ncau,Rectangle
DEHE06200000ncbR,Rectangle
DEHE06200000jqoB,Unknown
DEHE06200000muW8,Rectangle
DEHE06120000Lye6,L-Shape
DEHE06120000Wek4,Rectangle
DEHE06200000muU1,T-Shape
DEHE06120000Wdv1,Rectangle
DEHE06120000Wdv4,L-Shape
DEHE06120000WeEN,Rectangle
DEHE06120000WejA,Rectangle
DEHE06120000WehM,L-Shape
DEHE06120000Wbna,Rectangle
DEHE06120000WejH,Rectangle
DEHE06120000WeyT,L-Shape
DEHE06120000WejI,Rectangle
DEHE06120000Wegy,L-Shape
DEHE06120000Wefm,Rectangle
DEHE06120000Weji,Rectangle
DEHE06120000WdZy,Rectangle
DEHE06120000We1i,Rectangle
DEHE06120000Wekf,Unknown
DEHE06120000WejG,Rectangle
DEHE06120000Wejy,Rectangle
DEHE06120000Webk,Rectangle
DEHE06120000Webn,Rectangle
DEHE06120000WejD,Rectangle
DEHE06120000WexN,Rectangle
DEHE06120000Wej4,Rectangle
DEHE06120000U4ez,Rectangle
DEHE061200029OG7,Rectangle
DEHE06120000Wey2,Rectangle
DEHE06120000Weiq,Rectangle
DEHE06120002jGKi,L-Shape
DEHE06120000Wg0q,L-Shape
DEHE06120000Wf0h,Rectangle
DEHE06120000U5ne,T-Shape
DEHE06200000ncgu,L-Shape
DEHE06120000U41Y,Unknown
DEHE06200000muU4,Unknown
DEHE06120000PBJZ,T-Shape
DEHE06120000YlqS,L-Shape
DEHE06120000PC6m,L-Shape
DEHE06120000PBl7,Unknown
DEHE06120000PyqL,Rectangle
DEHE06120000Ylxd,Rectangle
DEHE06120000PC6k,Rectangle
DEHE06120000PC6B,L-Shape
DEHE06120000XqQM,Rectangle
DEHE06120000YltD,Rectangle
DEHE06120000XoYx,T-Shape
DEHE06120000XqL1,Unknown
DEHE06120001wqIo,Rectangle
DEHE06120001V4Ms,Unknown
DEHE06120000XmOs,L-Shape
DEHE06120000Xtin,Rectangle
DEHE06120000Xtik,Rectangle
DEHE06120000XqOv,Unknown
DEHE06120000XmKC,Rectangle
DEHE0612000252nZ,L-Shape
DEHE06120000Xtio,Rectangle
DEHE06120001Rnof,Rectangle
DEHE06120001yjKa,Rectangle
DEHE06120001uHat,Rectangle
DEHE06120001AFUQ,Rectangle
DEHE06120001VPHx,L-Shape
DEHE06120001VPHp,T-Shape
DEHE061200024clH,Rectangle
DEHE061200028oij,Unknown
DEHE061200024clC,Rectangle
DEHE06120000Rg80,L-Shape
DEHE06120002iG32,Unknown
DEHE061200024clG,Rectangle
DEHE06120000Q957,Rectangle
DEHE05970000knND,Rectangle
DEHE05970000klOW,L-Shape
DEHE05970000kQ0S,Rectangle
DEHE05970000koIO,Rectangle
DEHE05970000jUdy,Rectangle
DEHE05970000jU2A,Rectangle
DEHE05970000jUdt,Rectangle
DEHE05970000jUdv,Rectangle
DEHE05970000jUdA,Rectangle
DEHE06200000kHjF,Rectangle
DEHE05970001qcII,Rectangle
DEHE05970000qFzk,Rectangle
DEHE06200000kI2J,Rectangle
DEHE06200000kI9g,Rectangle
DEHE06200000kEks,Rectangle
DEHE06200002eMiF,Rectangle
DEHE06200000kI8u,Rectangle
DEHE06200002oLj7,Rectangle
DEHE06200000kHTL,Rectangle
DEHE06200000kI9q,Unknown
DEHE06200000kI0b,Rectangle
DEHE06200000kI09,Rectangle
DEHE06200000jqrh,Rectangle
DEHE06200000kHTV,L-Shape
DEHE06200000esmJ,Rectangle
DEHE06200000jqqX,L-Shape
DEHE06200000esmR,Rectangle
DEHE05970000db6J,Rectangle
DEHE062000007MjX,Rectangle
DEHE05970000cksK,Rectangle
DEHE05970000cKmZ,Rectangle
DEHE05970000db6Q,Rectangle
DEHE05970000db0m,Rectangle
DEHE059700000zeO,T-Shape
DEHE059700011coz,Rectangle
DEHE05970000db0C,Rectangle
DEHE05970001gdNK,Unknown
DEHE059700000odR,Rectangle
DEHE05970000db0z,Rectangle
DEHE05970000db0v,Rectangle
DEHE059700016st4,Rectangle
DEHE059700000o3L,L-Shape
DEHE06200000sjFN,L-Shape
DEHE06200002u2LY,L-Shape
DEHE06200002bAI0,Rectangle
DEHE06200002u2LN,Rectangle
DEHE06200000sjJb,L-Shape
DEHE06200000siQW,Unknown
DEHE06200001IGTq,Rectangle
DEHE06200000muVi,Rectangle
DEHE06200000ncch,Rectangle
DEHE06200000muVS,Rectangle
DEHE06200002oIfu,Rectangle
DEHE06200001Ld5c,Unknown
DEHE06120000OskN,Rectangle
DEHE06120000OsjN,Rectangle
DEHE06120000OsjK,Rectangle
DEHE06200001nFbz,Rectangle
DEHE06200001nFJT,Unknown
DEHE06200001j4VZ,Rectangle
DEHE06200001mDM0,Unknown
DEHE06200001nFKs,L-Shape
DEHE06200001qowJ,Unknown
DEHE06200001nFCW,Rectangle
DEHE06200001nFD0,Rectangle
DEHE06200002jso2,L-Shape
DEHE06200001dzHf,Rectangle
DEHE06200001kPBl,Rectangle
DEHE06200001dzcy,Unknown
DEHE06200001bOlG,Unknown
DEHE06200002efj2,Rectangle
DEHE06200002n94v,L-Shape
DEHE06200001bLLn,Rectangle
DEHE06200001bLLA,Unknown
DEHE06200002lMPO,Unknown
DEHE06200001FHf1,Rectangle
DEHE06200001gOD9,Rectangle
DEHE06200002tHE5,T-Shape
DEHE06200001ofA4,Rectangle
DEHE06200001ofya,Rectangle
DEHE06200001ogHc,Rectangle
DEHE06200001qoxp,L-Shape
DEHE06200001qoo0,Rectangle
DEHE06200001choN,Unknown
DEHE06200001chlA,Rectangle
DEHE06200001hX9W,Rectangle
DEHE06200001chmT,Rectangle
DEHE06200001chmn,Rectangle
DEHE06200002rp9m,L-Shape
DEHE06200002zvfs,Rectangle
DEHE06200002qa1H,T-Shape
DEHE06200002qvBB,Unknown
DEHE06200002ufHI,T-Shape
DEHE06200002qvCc,Unknown
DEHE06200001qNUe,Rectangle
DEHE06200001j4ZM,Unknown
DEHE06200001mC3x,Rectangle
DEHE06200001qoti,Rectangle
DEHE06200001cxhV,Unknown
DEHE06200002zZkG,Rectangle
DEHE06200001cxpm,Rectangle
DEHE06120002pKm5,Rectangle
DEHE06120002w4Bi,T-Shape
DEHE06120000U4gU,Unknown
DEHE06120000WeiM,Rectangle
DEHE06120000Yhe9,Rectangle
DEHE06120000VmVA,Unknown
DEHE06120000VmVj,Rectangle
DEHE06120000XsAz,L-Shape
DEHE06120000Xoxy,T-Shape
DEHE06200000kHkG,L-Shape
DEHE06200000kI0a,Rectangle
DEHE05970000daoz,Unknown
DEHE062000007Mci,Rectangle
DEHE06200000jrUU,T-Shape
DEHE06200000sZ2u,Rectangle
DEHE06200000rEwn,Unknown
DEHE06120000OW5A,Rectangle
DEHE06120000N84e,Unknown
DEHE06120000N6gx,Rectangle
DEHE06120000N5Qo,Unknown
DEHE06120000N7V4,Rectangle
DEHE06120000Nbod,Rectangle
DEHE06120000N7Wl,Rectangle
DEHE06120000N86q,Rectangle
DEHE06120000N82t,Unknown
DEHE06120002af80,Rectangle
DEHE06120002rpf2,Rectangle
DEHE06120002d8Vz,Unknown
DEHE06120000N5xu,Rectangle
DEHE06120000NcXu,Unknown
DEHE06120002qsAh,Unknown
DEHE06120000N7Jw,Rectangle
DEHE06120000NkY4,L-Shape
DEHE06120000NcGy,Rectangle
DEHE06120001SjxT,Rectangle
DEHE06120001Yi4k,L-Shape
DEHE06120000Nh7Z,Unknown
DEHE06120000NkJA,Rectangle
DEHE06120000Nc5K,Rectangle
DEHE06120000NkGQ,Unknown
DEHE06120000NhyH,Unknown
DEHE06120000N9t1,Rectangle
DEHE06120001t4GA,Unknown
DEHE06120000N9BS,Unknown
DEHE06120000NrnY,Rectangle
DEHE06120000N9BV,Unknown
DEHE06120000N9wk,T-Shape
DEHE06120000N9zx,Unknown
DEHE06120000N9ke,Unknown
DEHE06120001ApMx,Unknown
DEHE06120000N8R5,L-Shape
DEHE06120000N8tz,Rectangle
DEHE06120000N9tW,Rectangle
DEHE06120000N9gA,Unknown
DEHE06120000N9r1,Unknown
DEHE06120000N9CT,Unknown
DEHE06120000N9kw,L-Shape
DEHE06120000N9k3,Rectangle
DEHE06120000N9v2,Rectangle
DEHE06120000Osmo,Rectangle
DEHE06120002aKaE,Rectangle
DEHE06120000Yhfr,Unknown
DEHE06120000OW9q,T-Shape
DEHE06120000OsjL,L-Shape
DEHE06120000OsIA,Rectangle
DEHE06120001t1xn,L-Shape
DEHE06120001GeFN,Rectangle
DEHE06120000OSmA,L-Shape
DEHE06120000Nnoo,Rectangle
DEHE06200001nFeC,Unknown
